playerId,playerName,LA_RAPM,LA_RAPM_Rank,LA_RAPM__Def,LA_RAPM__Def_Rank,LA_RAPM__Off,LA_RAPM__Off_Rank,RA_EFG,RA_EFG_Rank,RA_EFG__Def,RA_EFG__Def_Rank,RA_EFG__Off,RA_EFG__Off_Rank,RA_FTR,RA_FTR_Rank,RA_FTR__Def,RA_FTR__Def_Rank,RA_FTR__Off,RA_FTR__Off_Rank,RA_ORBD,RA_ORBD_Rank,RA_ORBD__Def,RA_ORBD__Def_Rank,RA_ORBD__Off,RA_ORBD__Off_Rank,RA_TOV,RA_TOV_Rank,RA_TOV__Def,RA_TOV__Def_Rank,RA_TOV__Off,RA_TOV__Off_Rank,RAPM,RAPM_Rank,RAPM__Def,RAPM__Def_Rank,RAPM__Off,RAPM__Off_Rank,season,teamId,teamName,primaryKey
203124,"Kyle OQuinn",-0.94,584,-1.15,685,0.21,242,0.04,303,0.1,281,-0.06,374,-4.59,727,-2.28,680,-2.32,691,1.12,141,0.58,169,0.55,187,-0.89,672,-1.05,726,0.17,238,-0.87,555,-1,639,0.13,275,"2018-21",-1,"N/A","203124_2018-21"
202692,"Alec Burks",-2.1,713,-1,663,-1.1,662,-0.48,557,0.31,170,-0.79,683,1.92,111,-0.8,552,2.72,35,-0.56,480,0.31,238,-0.87,598,0.03,354,-0.58,665,0.61,59,-0.69,520,-0.19,460,-0.51,506,"2018-21",-1,"N/A","202692_2018-21"
203109,"Jae Crowder",0.82,147,0.24,236,0.58,156,0.2,232,-0.03,403,0.23,195,0.02,352,-3.09,711,3.11,27,-0.8,522,0.26,255,-1.06,629,0.21,255,-0.18,513,0.39,118,0.05,311,-0.78,611,0.83,141,"2018-21",-1,"N/A","203109_2018-21"
203471,"Dennis Schroder",1.92,63,0.98,79,0.94,99,1.06,75,0.71,68,0.35,163,4.06,22,-0.6,511,4.66,7,0.54,226,0.67,149,-0.13,393,0.69,93,0.33,148,0.35,135,2.72,35,1.72,37,1,121,"2018-21",-1,"N/A","203471_2018-21"
1628367,"Josh Jackson",-0.36,458,0.79,107,-1.15,670,-0.36,512,0.27,193,-0.64,652,0.98,190,-1.11,595,2.09,65,-1.13,596,-0.54,555,-0.59,547,-0.15,456,0.74,47,-0.88,716,-1.58,643,0.53,171,-2.11,720,"2018-21",-1,"N/A","1628367_2018-21"
1630219,"Skylar Mays",0.58,188,0.01,346,0.56,160,-0.23,464,-0.12,468,-0.11,417,0.19,322,0.12,328,0.06,329,2.68,36,1.31,50,1.37,64,0.26,226,-0.08,441,0.34,139,0.44,227,-0.21,466,0.64,166,"2018-21",-1,"N/A","1630219_2018-21"
1630221,"Josh Hall",0.01,330,0.39,189,-0.39,504,-0.33,500,-0.03,396,-0.3,540,1.6,129,0.52,235,1.08,149,-0.17,386,0.14,321,-0.31,472,-0.2,486,-0.11,467,-0.09,458,-0.56,496,0.07,326,-0.64,545,"2018-21",-1,"N/A","1630221_2018-21"
101107,"Marvin Williams",0.67,171,0.14,272,0.53,166,-0.54,583,-0.37,579,-0.17,464,0.42,279,1,158,-0.57,493,0.2,297,0.4,221,-0.19,428,0.38,182,0.04,314,0.34,140,0.2,268,-0.14,435,0.34,214,"2018-21",-1,"N/A","101107_2018-21"
101108,"Chris Paul",3.98,13,1.74,28,2.25,26,1.96,20,0.37,137,1.59,13,-0.03,370,2.06,66,-2.08,680,-1.24,609,-0.54,557,-0.7,562,1.98,2,1,24,0.98,16,5.55,7,2.35,15,3.19,17,"2018-21",-1,"N/A","101108_2018-21"
1627739,"Kris Dunn",0.49,198,1.33,50,-0.83,611,-0.06,365,0.43,126,-0.49,607,-1.55,585,-0.1,392,-1.45,630,-0.64,495,0.17,307,-0.81,591,1.13,31,0.8,38,0.33,142,0.36,243,1.13,86,-0.77,571,"2018-21",-1,"N/A","1627739_2018-21"
