playerId,playerName,LA_RAPM,LA_RAPM_Rank,LA_RAPM__Def,LA_RAPM__Def_Rank,LA_RAPM__Off,LA_RAPM__Off_Rank,RA_EFG,RA_EFG_Rank,RA_EFG__Def,RA_EFG__Def_Rank,RA_EFG__Off,RA_EFG__Off_Rank,RA_FTR,RA_FTR_Rank,RA_FTR__Def,RA_FTR__Def_Rank,RA_FTR__Off,RA_FTR__Off_Rank,RA_ORBD,RA_ORBD_Rank,RA_ORBD__Def,RA_ORBD__Def_Rank,RA_ORBD__Off,RA_ORBD__Off_Rank,RA_TOV,RA_TOV_Rank,RA_TOV__Def,RA_TOV__Def_Rank,RA_TOV__Off,RA_TOV__Off_Rank,RAPM,RAPM_Rank,RAPM__Def,RAPM__Def_Rank,RAPM__Off,RAPM__Off_Rank,season,teamId,teamName,primaryKey
203952,"Andrew Wiggins",-0.04,245,1.24,24,-1.27,477,-0.22,312,0.64,40,-0.86,481,0.46,117,0.28,129,0.18,174,-0.84,392,-0.04,259,-0.81,423,-0.28,366,0.14,162,-0.42,423,-0.62,342,0.99,62,-1.61,470,"2020-21",1610612744,"GSW","203952_2020-21"
203953,"Jabari Parker",-0.42,331,-0.24,328,-0.18,290,-0.3,335,-0.17,337,-0.13,284,-0.69,412,-0.37,382,-0.33,373,-0.19,290,-0.24,328,0.05,230,0.16,179,0.08,199,0.08,195,-0.64,345,-0.43,362,-0.2,269,"2020-21",1610612758,"SAC","203953_2020-21"
203926,"Doug McDermott",1.68,34,0.87,53,0.81,67,0.58,101,-0.08,303,0.66,58,0.03,243,0.47,85,-0.44,403,1.09,67,0.79,64,0.3,155,0.27,133,0.26,110,0.01,242,1.32,72,0.42,144,0.9,94,"2020-21",1610612754,"IND","203926_2020-21"
203933,"T.J. Warren",0.77,93,0.38,126,0.39,128,0.1,192,0.01,248,0.09,187,-0.57,400,-0.35,375,-0.21,339,0.19,205,0.4,132,-0.21,317,0.1,195,0.08,196,0.03,228,0.29,183,0.19,185,0.1,203,"2020-21",1610612754,"IND","203933_2020-21"
203935,"Marcus Smart",-0.42,329,-0.08,274,-0.34,345,-0.15,284,-0.39,406,0.23,147,-0.97,456,-0.55,434,-0.42,394,-1.07,425,-1.03,463,-0.03,255,0.82,33,0.8,16,0.01,240,-0.3,284,-0.06,274,-0.24,281,"2020-21",1610612738,"BOS","203935_2020-21"
203937,"Kyle Anderson",0.75,97,0.52,106,0.23,156,-0.57,401,0.22,143,-0.8,472,-0.14,299,0.07,214,-0.21,336,0.43,156,0.35,140,0.09,215,1.05,19,0.67,24,0.38,80,0.19,195,1.07,55,-0.87,401,"2020-21",1610612763,"MEM","203937_2020-21"
203939,"Dwight Powell",-0.05,253,0.92,46,-0.97,456,0.65,85,0.84,17,-0.19,313,-0.14,300,-0.5,424,0.35,108,-0.75,383,0.09,219,-0.84,428,0.73,45,0.9,9,-0.18,357,1.39,69,1.87,11,-0.48,342,"2020-21",1610612742,"DAL","203939_2020-21"
2738,"Andre Iguodala",-0.41,326,0.24,165,-0.65,415,0.22,162,0.42,78,-0.2,315,-0.39,370,-0.35,373,-0.04,268,-1.02,418,-1.03,462,0.01,247,0.01,241,0.6,30,-0.61,464,-0.35,299,0.66,100,-1.01,424,"2020-21",1610612748,"MIA","2738_2020-21"
204020,"Tyler Johnson",0.12,203,-0.48,390,0.6,94,0.75,69,0.18,163,0.57,69,0.15,200,0.18,164,-0.03,264,-0.92,404,-0.61,421,-0.31,345,0.18,169,-0.5,446,0.68,26,1.29,77,-0.14,301,1.43,49,"2020-21",1610612751,"BKN","204020_2020-21"
204025,"Tim Frazier",0.01,240,0.27,157,-0.27,317,0.01,223,0.24,138,-0.23,324,-0.16,306,0.08,210,-0.24,349,0.27,188,0.49,111,-0.22,321,-0.02,248,0.08,195,-0.1,310,0.01,224,0.48,131,-0.48,340,"2020-21",1610612763,"MEM","204025_2020-21"
204038,"Langston Galloway",0.31,166,0.34,140,-0.02,227,-0.3,336,-0.24,358,-0.06,246,-0.89,444,-0.37,379,-0.53,419,-0.97,411,0.39,134,-1.35,472,0.01,237,-0.03,261,0.04,219,-0.47,324,-0.13,297,-0.34,303,"2020-21",1610612756,"PHX","204038_2020-21"
204060,"Joe Ingles",2.22,17,0.67,77,1.55,17,1.26,25,0.28,120,0.98,24,-0.06,276,-0.33,365,0.27,134,-0.07,272,0.07,222,-0.13,293,0.02,235,0.01,245,0.02,236,2.04,36,0.16,198,1.88,26,"2020-21",1610612762,"UTA","204060_2020-21"
204456,"T.J. McConnell",0.18,194,0.09,215,0.09,198,0.42,122,0.34,100,0.08,189,0.31,149,-0.15,307,0.46,78,-0.92,405,-0.78,444,-0.14,297,0.29,130,1.03,6,-0.74,477,0.4,169,0.63,105,-0.23,276,"2020-21",1610612754,"IND","204456_2020-21"
2544,"LeBron James",2.85,2,1.62,8,1.23,29,1.8,6,0.86,15,0.94,26,1.23,24,0.74,44,0.49,70,1.33,51,0.91,53,0.43,127,-0.08,282,0.01,244,-0.08,296,3.49,5,1.85,12,1.64,39,"2020-21",1610612747,"LAL","2544_2020-21"
